study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-222,Space biology research study on Drosophila melanogaster - GLDS-222,2015,ISS,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1290/example.glds-222,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-222,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-223,Space biology research study on Caenorhabditis elegans - GLDS-223,2016,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-223,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-224,Space biology research study on Homo sapiens - GLDS-224,2017,ISS Expedition 60,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1292/example.glds-224,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-224,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-225,Space biology research study on Rattus norvegicus - GLDS-225,2018,Space Shuttle,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-225,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-226,Space biology research study on Mus musculus - GLDS-226,2019,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1294/example.glds-226,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-226,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-227,Space biology research study on Arabidopsis thaliana - GLDS-227,2020,ISS,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-227,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-228,Space biology research study on Drosophila melanogaster - GLDS-228,2021,ISS Expedition 50,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1296/example.glds-228,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-228,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-229,Space biology research study on Caenorhabditis elegans - GLDS-229,2022,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-229,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-230,Space biology research study on Homo sapiens - GLDS-230,2023,Space Shuttle,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1298/example.glds-230,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-230,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-231,Space biology research study on Rattus norvegicus - GLDS-231,2024,,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-231,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-232,Space biology research study on Mus musculus - GLDS-232,2015,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1300/example.glds-232,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-232,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-233,Space biology research study on Arabidopsis thaliana - GLDS-233,2016,ISS Expedition 50,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-233,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-234,Space biology research study on Drosophila melanogaster - GLDS-234,2017,ISS Expedition 60,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1302/example.glds-234,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-234,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-235,Space biology research study on Caenorhabditis elegans - GLDS-235,2018,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-235,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-236,Space biology research study on Homo sapiens - GLDS-236,2019,,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1304/example.glds-236,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-236,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-237,Space biology research study on Rattus norvegicus - GLDS-237,2020,ISS,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-237,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-238,Space biology research study on Mus musculus - GLDS-238,2021,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1306/example.glds-238,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-238,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-239,Space biology research study on Arabidopsis thaliana - GLDS-239,2022,ISS Expedition 60,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-239,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-240,Space biology research study on Drosophila melanogaster - GLDS-240,2023,Space Shuttle,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1308/example.glds-240,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-240,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-241,Space biology research study on Caenorhabditis elegans - GLDS-241,2024,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-241,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-242,Space biology research study on Homo sapiens - GLDS-242,2015,ISS,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1310/example.glds-242,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-242,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-243,Space biology research study on Rattus norvegicus - GLDS-243,2016,ISS Expedition 50,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-243,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-244,Space biology research study on Mus musculus - GLDS-244,2017,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1312/example.glds-244,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-244,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-245,Space biology research study on Arabidopsis thaliana - GLDS-245,2018,Space Shuttle,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-245,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-246,Space biology research study on Drosophila melanogaster - GLDS-246,2019,,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1314/example.glds-246,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-246,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-247,Space biology research study on Caenorhabditis elegans - GLDS-247,2020,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-247,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-248,Space biology research study on Homo sapiens - GLDS-248,2021,ISS Expedition 50,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1316/example.glds-248,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-248,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-249,Space biology research study on Rattus norvegicus - GLDS-249,2022,ISS Expedition 60,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-249,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-250,Space biology research study on Mus musculus - GLDS-250,2023,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1318/example.glds-250,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-250,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-251,Space biology research study on Arabidopsis thaliana - GLDS-251,2024,,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-251,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-252,Space biology research study on Drosophila melanogaster - GLDS-252,2015,ISS,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1320/example.glds-252,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-252,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-253,Space biology research study on Caenorhabditis elegans - GLDS-253,2016,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-253,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-254,Space biology research study on Homo sapiens - GLDS-254,2017,ISS Expedition 60,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1322/example.glds-254,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-254,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-255,Space biology research study on Rattus norvegicus - GLDS-255,2018,Space Shuttle,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-255,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-256,Space biology research study on Mus musculus - GLDS-256,2019,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1324/example.glds-256,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-256,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-257,Space biology research study on Arabidopsis thaliana - GLDS-257,2020,ISS,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-257,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-258,Space biology research study on Drosophila melanogaster - GLDS-258,2021,ISS Expedition 50,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1326/example.glds-258,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-258,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-259,Space biology research study on Caenorhabditis elegans - GLDS-259,2022,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-259,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-260,Space biology research study on Homo sapiens - GLDS-260,2023,Space Shuttle,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1328/example.glds-260,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-260,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-261,Space biology research study on Rattus norvegicus - GLDS-261,2024,,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-261,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-262,Space biology research study on Mus musculus - GLDS-262,2015,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1330/example.glds-262,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-262,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-263,Space biology research study on Arabidopsis thaliana - GLDS-263,2016,ISS Expedition 50,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-263,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-264,Space biology research study on Drosophila melanogaster - GLDS-264,2017,ISS Expedition 60,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1332/example.glds-264,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-264,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-265,Space biology research study on Caenorhabditis elegans - GLDS-265,2018,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-265,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-266,Space biology research study on Homo sapiens - GLDS-266,2019,,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1334/example.glds-266,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-266,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-267,Space biology research study on Rattus norvegicus - GLDS-267,2020,ISS,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-267,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-268,Space biology research study on Mus musculus - GLDS-268,2021,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1336/example.glds-268,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-268,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-269,Space biology research study on Arabidopsis thaliana - GLDS-269,2022,ISS Expedition 60,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-269,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-270,Space biology research study on Drosophila melanogaster - GLDS-270,2023,Space Shuttle,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1338/example.glds-270,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-270,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-271,Space biology research study on Caenorhabditis elegans - GLDS-271,2024,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-271,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-272,Space biology research study on Homo sapiens - GLDS-272,2015,ISS,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1340/example.glds-272,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-272,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-273,Space biology research study on Rattus norvegicus - GLDS-273,2016,ISS Expedition 50,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-273,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-274,Space biology research study on Mus musculus - GLDS-274,2017,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1342/example.glds-274,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-274,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-275,Space biology research study on Arabidopsis thaliana - GLDS-275,2018,Space Shuttle,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-275,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-276,Space biology research study on Drosophila melanogaster - GLDS-276,2019,,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1344/example.glds-276,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-276,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-277,Space biology research study on Caenorhabditis elegans - GLDS-277,2020,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-277,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-278,Space biology research study on Homo sapiens - GLDS-278,2021,ISS Expedition 50,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1346/example.glds-278,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-278,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
